year,gender,race,age_group,death_cause,population,deaths,capita
All,Both,C,35-44,F,36617242,561,1.53206514
All,Both,C,45-54,F,29921447,462,1.544042974
All,Both,C,55-64,F,20218003,329,1.627262594
All,Both,C,05-09,F,15232975,0,0
All,Both,C,65-74,F,11416321,154,1.348945952
All,Both,C,75-84,F,5767004,102,1.768682664
All,Both,C,85+,F,1764642,26,1.47338667
All,Both,C,10-14,E,14998715,0,0
All,Both,C,15-19,E,15622026,0,0
All,Both,C,20-24,E,17851169,0,0
All,Both,C,25-34,E,39725396,0,0
All,Both,C,35-44,E,36617242,1,0.002730954
All,Both,C,45-54,E,29921447,1,0.003342084
All,Both,C,55-64,E,20218003,0,0
All,Both,C,05-09,E,15232975,0,0
All,Both,C,65-74,E,11416321,0,0
All,Both,C,75-84,E,5767004,0,0
All,Both,C,85+,E,1764642,0,0
All,Both,C,10-14,N,14998715,0,0
All,Both,C,15-19,N,15622026,7,0.044808529
All,Both,C,20-24,N,17851169,9,0.050416866
All,Both,C,25-34,N,39725396,28,0.070483879
All,Both,C,35-44,N,36617242,43,0.117431018
All,Both,C,45-54,N,29921447,41,0.137025459
All,Both,C,55-64,N,20218003,29,0.14343652
All,Both,C,05-09,N,15232975,0,0
All,Both,C,65-74,N,11416321,14,0.12263145
All,Both,C,75-84,N,5767004,4,0.069360104
All,Both,C,85+,N,1764642,1,0.056668718
All,Both,C,10-14,O,14998715,0,0
All,Both,C,15-19,O,15622026,0,0
All,Both,C,20-24,O,17851169,0,0
All,Both,C,25-34,O,39725396,0,0
All,Both,C,35-44,O,36617242,0,0
All,Both,C,45-54,O,29921447,0,0
All,Both,C,55-64,O,20218003,0,0
All,Both,C,05-09,O,15232975,0,0
All,Both,C,65-74,O,11416321,0,0
All,Both,C,75-84,O,5767004,0,0
All,Both,C,85+,O,1764642,0,0
All,Both,C,10-14,M,14998715,0,0
All,Both,C,15-19,M,15622026,6,0.03840731
All,Both,C,20-24,M,17851169,24,0.134444977
All,Both,C,25-34,M,39725396,73,0.183761541
All,Both,C,35-44,M,36617242,88,0.240323944
All,Both,C,45-54,M,29921447,79,0.264024664
All,Both,C,55-64,M,20218003,64,0.316549562
All,Both,C,05-09,M,15232975,0,0
All,Both,C,65-74,M,11416321,37,0.324097404
All,Both,C,75-84,M,5767004,35,0.606900914
All,Both,C,85+,M,1764642,15,0.850030771
All,Both,C,10-14,B,14998715,0,0
All,Both,C,15-19,B,15622026,1,0.006401218
All,Both,C,20-24,B,17851169,0,0
